"restaurant_name","feature_type"
"The View - Yacht Restaurant Da Nang","[""Service options"", ""Highlights"", ""Popular for"", ""Offerings"", ""Dining options"", ""Amenities"", ""Atmosphere"", ""Crowd"", ""Planning"", ""Payments"", ""Children"", ""Parking""]"
"Bếp Quê","[""Accessibility"", ""Service options"", ""Highlights"", ""Popular for"", ""Offerings"", ""Dining options"", ""Amenities"", ""Atmosphere"", ""Crowd"", ""Planning"", ""Payments"", ""Children"", ""Parking""]"
"Riverside Terrace Restaurant (formerly L'Italiano Riverside DaNang)","[""Accessibility"", ""Service options"", ""Highlights"", ""Popular for"", ""Offerings"", ""Dining options"", ""Amenities"", ""Atmosphere"", ""Crowd"", ""Planning"", ""Children"", ""Parking""]"
"Ơ Kìa - Seafood Restaurant","[""Accessibility"", ""From the business"", ""Service options"", ""Highlights"", ""Popular for"", ""Offerings"", ""Dining options"", ""Amenities"", ""Atmosphere"", ""Crowd"", ""Planning"", ""Payments"", ""Children"", ""Parking""]"
"Roots Plant-based Cafe - Healthy Vegan restaurant","[""Accessibility"", ""Service options"", ""Highlights"", ""Popular for"", ""Offerings"", ""Dining options"", ""Amenities"", ""Atmosphere"", ""Crowd"", ""Planning"", ""Payments"", ""Children"", ""Parking"", ""Pets""]"
"Bikini Bottom Express","[""Accessibility"", ""Service options"", ""Highlights"", ""Popular for"", ""Offerings"", ""Dining options"", ""Amenities"", ""Atmosphere"", ""Crowd"", ""Planning"", ""Payments"", ""Children"", ""Parking"", ""Pets""]"
